Greek	English
Ἀαρών	Aaron 
Ἀαρών	Aaron 
Ἀαρὼν	Aaron 
Ἀαρών	Aaron 
Ἀβαδδὼν	Abaddon 
Αββα	Abba 
Ἅβελ	Abel 
Ἅβελ	Abel 
Ἅβελ	Abel 
Ἀβιαθὰρ	Abiathar 
Ἀβιά	Abijah 
Ἀβιά	Abijah 
Ἀβιούδ	Abiud 
Ἀβραὰμ	Abraham 
Ἀβραάμ	Abraham 
Ἀβραάμ	Abraham 
Ἀβραὰμ	Abraham 
Ἀβραάμ	Abraham 
Ἀβραὰμ	Abraham 
Ἀβραάμ	Abraham 
Ἀβραάμ	Abraham 
Ἀβραὰμ	Abraham 
Ἀβραὰμ	Abraham 
Ἀβραὰμ	Abraham 
Ἀβραάμ	Abraham 
Ἀβραὰμ	Abraham 
Ἀβραάμ	Abraham 
Ἀβραάμ	Abraham 
Ἀβραὰμ	Abraham 
Ἀβραάμ	Abraham 
Ἀβραάμ	Abraham  
Ἁκελδαμά	Aceldama 
Ἀχείμ	Achim 
Ἀδὰμ	Adam 
Ἀδὰμ	Adam 
Ἀδὰμ	Adam 
Ἀδάμ	Adam 
Ἀδδὶ	Addi 
Αἰνὼν	Aenon 
Ἀχάζ	Ahaz 
Ἀμιναδάβ	Amminadab 
Ἀμιναδὰβ	Amminadab 
Ἀμών	Amon 
Ἀμὼς	Amos 
Ἀράμ	Aram 
Ἀρφαξὰδ	Arphaxad 
Ἀσά	Asa 
Ἀσήρ	Asher 
Ἀσὴρ	Asher 
Ἀζώρ	Azor 
Βάαλ	Baal 
Βαλαὰμ	Balaam 
Βαλαάμ	Balaam 
Βαλαὰμ	Balaam 
Βαλὰκ	Balak 
Βαράκ	Barak 
Βεελζεβοὺλ	Beelzebub 
Βελιάρ	Belial 
Βενιαμίν	Benjamin 
Βενιαμὶν	Benjamin 
Βενιαμίν	Benjamin 
Βοσόρ	Beor 
Βηθεσδά	Bethesda 
Βηθλέεμ	Bethlehem 
Βηθλέεμ	Bethlehem 
Βηθφαγὴ	Bethphage 
Βηθφαγὴ	Bethphage 
Βηθσαϊδὰ	Bethsaida 
Βηθσαϊδάν	Bethsaida 
Βηθσαϊδά	Bethsaida 
Βηθσαϊδά	Bethsaida 
Βηθσαϊδάν	Bethsaida 
Βηθσαϊδάν	Bethsaida 
Βηθσαϊδά	Bethsaida 
Βοανεργές	Boanerges 
Βοὸζ	Boaz 
Βόοζ	Boaz 
Κάϊν	Cain 
Κάϊν	Cain 
Καϊνάν	Cainan 
Καϊνὰν	Cainan 
Κανὰ	Cana 
Χανάαν	Canaan 
Χανάαν	Canaan 
Καπερναούμ	Capernaum 
Καπερναοὺμ	Capernaum 
Καπερναοὺμ	Capernaum 
Καπερναούμ	Capernaum 
Καπερναούμ	Capernaum 
Καπερναούμ	Capernaum 
χερουβιμ	Cherabim 
Χοραζίν	Chorazin 
Χωραζίν	Chorazin 
Κωσὰμ	Cosam 
Δαλμανουθά	Dalmanutha 
Δανιὴλ	Daniel 
Δαβὶδ	David 
Δαβίδ	David 
Δαβὶδ	David 
Δαβὶδ	David 
Δαβίδ	David 
Δαβίδ	David 
Δαβὶδ	David 
Δαβίδ	David 
Δαβὶδ	David 
Δαβίδ	David 
Δαβίδ	David 
Δαβίδ	David 
Δαβίδ	David   
Ἔβερ	Eber 
Ἐλεάζαρ	Eleazar 
Ἐλιακείμ	Eliakim 
Ἐλιακεὶμ	Eliakim 
Ἐλιέζερ	Eliezer 
Ἐλιούδ	Eliud 
Ἐλισάβετ	Elizabeth 
Ἐλισάβετ	Elizabeth 
Ἐλισάβετ	Elizabeth 
Ἐλμωδὰμ	Elmodam 
Ἐμμανουήλ	Emmanuel 
Ἐμμαοῦς	Emmaus 
Word	English
Ἑνὼχ	Enoch 
Ἑνὼχ	Enoch 
Ἑνὼχ	Enoch 
Ἐνὼς	Enos 
Ἐφραὶμ	Ephraim 
Ἢρ	Er 
Ἠσαῦ	Esau 
Ἠσαῦ	Esau 
Ἠσαῦ	Esau 
Ἑσλὶ	Esli 
Γαββαθα	Gabbatha  
Γαβριὴλ	Gabriel 
Γαβριὴλ	Gabriel 
Γὰδ	Gad 
Γαμαλιήλ	Gamaliel 
Γαμαλιὴλ	Gamaliel 
Γενησαρέτ	Gennesaret 
Γεννησαρέτ	Gennesaret 
Γεννησαρέτ	Gennesaret  
Γεθσημανῆ	Gethsemane 
Γεθσημανῆ	Gethsemane 
Γεδεών	Gideon 
Γὼγ	Gog 
Ἁγὰρ	Hagar 
Ἁγάρ	Hagar 
Ἑμμὸρ	Hamor 
Χαρράν	Haran 
Ἠλὶ	Heli 
Ἑσρώμ	Hezron 
Ἑσρὼμ	Hezron 
Ὡσηὲ	Hosea 
Ἰσαὰκ	Isaac
Ἰσαὰκ	Isaac 
Ἰσαὰκ	Isaac 
Ἰσαάκ	Isaac 
Ἰσαὰκ	Isaac 
Ἰσαὰκ	Isaac 
Ἰσραὴλ	Israel 
Ἰσραήλ	Israel 
Ἰσραὴλ	Israel 
Ἰσραήλ	Israel 
Ἰσραήλ	Israel 
Ἰσραὴλ	Israel 
Ἰσραήλ	Israel 
Ἰσραὴλ	Israel 
Ἰσραήλ	Israel 
Ἰσραὴλ	Israel 
Ἰσραήλ	Israel 
Ἰσραήλ	Israel 
Ἰσραήλ	Israel 
Ἰσραὴλ	Israel 
Ἰσραὴλ	Israel 
Ἰσραήλ	Israel 
Ἰσραήλ	Israel  
Ἰσραήλ	Israel  
Ἰσραὴλ	Israel 
Ἰσαχάρ	Issachar 
Ἰαννὰ	Jaanai 
Ἰακὼβ	Jacob 
Ἰακώβ	Jacob 
Ἰακὼβ	Jacob 
Ἰακώβ	Jacob 
Ἰακώβ	Jacob 
Ἰακὼβ	Jacob 
Ἰακὼβ	Jacob 
Ἰακώβ	Jacob 
Ἰακώβ	Jacob 
Ἰακώβ	Jacob 
Ἰαρέδ	Jared 
Ἰωσαφάτ	Jehoshaph
Ἰεφθάε	Jephthah 
Ἰεριχὼ	Jericho 
Ἰεριχὼ	Jericho 
Ἰεριχώ	Jericho 
Ἰεριχώ	Jericho 
Ἰεριχὼ	Jericho 
Ἰερουσαλήμ	Jerusalem 
Ἰερουσαλὴμ	Jerusalem 
Ἰερουσαλήμ	Jerusalem 
Ἰερουσαλὴμ	Jerusalem 
Ἰερουσαλήμ	Jerusalem 
Ἱερουσάλημ	Jerusalem 
Ἰερουσαλήμ	Jerusalem 
Ἱερουσάλημ	Jerusalem 
Ἰερουσαλήμ	Jerusalem 
Ἰερουσαλήμ	Jerusalem 
Ἰερουσαλήμ	Jerusalem 
Ἰερουσαλήμ	Jerusalem  
Ἰερουσαλήμ	Jerusalem  
Ἰεσσαί	Jesse 
Ἰεσσαί	Jesse 
Ἰεσσαὶ	Jesse 
Ἰεσσαί	Jesse 
Ἰεζάβηλ	Jezebel 
Ἰὼβ	Job 
Ἰωήλ	Joel 
Ἰωνὰν	Jonan 
Ἰωράμ	Joram 
Ἰωρεὶμ	Jorim 
Ἰωσὴφ	Joseph 
Ἰωσήφ	Joseph 
Ἰωσὴφ	Joseph 
Ἰωσήφ	Joseph 
Ἰωσὴφ	Joseph 
Ἰωσὴφ	Joseph 
Ἰωσήφ	Joseph 
Ἰωσήφ	Joseph 
Ἰωσὴφ	Joseph 
Ἰωσὴφ	Joseph 
Ἰωσήφ	Joseph 
Ἰωσὴφ	Joseph 
Ἰωσήφ	Joseph 
Ἰωαθάμ	Jotham 
Κεδρὼν	Kidron 
Κίς	Kish 
Κόρε	Korah 
Λάμεχ	Lamech 
Λευὶ	Levi 
Λευὶ	Levi 
Λευὶ	Levi 
Λὼτ	Lot 
Λὼτ	Lot 
Λώτ	Lot 
Λώτ	Lot 
Μάαθ	Maath 
Μαγδαλά	Magdala 
Μαγώγ	Magog 
Μαλελεὴλ	Mahalaleel 
Μαναήν	Manaen 
Μαριὰμ	Mary 
Μαριὰμ	Mary 
Μαριὰμ	Mary 
Μαριάμ	Mary 
Μαρίαμ	Mary 
Μαριάμ	Mary 
Ματταθὰ	Mattathah 
Ματθὰτ	Matth
Ματθάν	Matthan 
Μελχὶ	Melchi 
Μελχισέδεκ	Melchizedek 
Μελχισέδεκ	Melchizedek 
Μελχισέδεκ	Melchizedek 
Μελχισέδεκ	Melchizedek 
Μελχισεδέκ	Melchizedek 
Μελχισέδεκ	Melchizedek 
Μελεὰ	Melea 
Μαϊνάν	Menan 
Μαθουσαλὰ	Methuselah 
Μιχαὴλ	Michael 
Μαδιάμ	Midian 
Μολὸχ	Moloch 
Νεεμὰν	Naaman 
Ναγγαὶ	Naggai 
Ναχὼρ	Nahor 
Ναασσών	Nahshon 
Ναασσὼν	Nahshon 
Ναοὺμ	Nahum 
Ναΐν	Nain 
Νεφθαλείμ	Naphtali 
Νεφθαλείμ	Naphtali 
Ναθὰν	Nathan 
Ναθαναὴλ	Nathanael 
Ναθαναήλ	Nathanael 
Ναθαναήλ	Nathanael 
Ναζαρὲτ	Nazareth 
Ναζαρὲτ	Nazareth 
Ναζαρέτ	Nazareth 
Ναζαρέτ	Nazareth 
Ναζαρέτ	Nazareth 
Νεφθαλείμ	Nephtali 
Νηρὶ	Neri 
Νίγερ	Niger 
Νινευΐ	Nineveh 
Νῶε	Noah 
Νῶε	Noah 
Νῶε	Noah   
Ὠβὴδ	Obed 
Ὠβήδ	Obed 
Φάλεκ	Peleg 
Φάρες	Perez 
Φάρες	Perez 
Φανουήλ	Phanuel 
Φαραὼ	Pharaoh 
Φαραὼ	Pharaoh 
Φαραώ	Pharaoh 
Ῥαχὴλ	Rachel 
Ῥαὰβ	Rahab 
Ῥαχάβ	Rahab 
Ἀράμ	Ram 
Ῥαμὰ	Ramah 
Ῥοβοάμ	Rehoboam 
Ῥεμφὰν	Remphan 
Ῥαγαὺ	Reu 
Ῥουβὴν	Reuben 
Ῥησὰ	Rhesa 
Ῥούθ	Ruth 
Σαλήμ	Salem 
Σαλείμ	Salim 
Σαλμών	Salmon 
Σαλμών	Salmon 
Σαμψών	Samson 
Σαμουὴλ	Samuel 
Σατᾶν	Satan 
Σαοὺλ	Saul 
Σαοὺλ	Saul 
Σαούλ	Saul 
Σεμεΐ	Semei 
Σαρούχ	Serug 
Σὴθ	Seth 
Σαλαθιὴλ	Shealtiel 
Σαλαθιήλ	Shealtiel 
Συχέμ	Shechem 
Συχὲμ	Shechem 
Σαλὰ	Shelah 
Σὴμ	Shem 
Σιλωὰμ	Siloam 
Σιλωάμ	Siloam 
Σιλωὰμ	Siloam 
Συμεὼν	Simeon 
Συμεὼν	Simeon 
Συμεὼν	Simeon 
Συμεών	Simeon 
Συμεὼν	Simon 
Σινᾶ	Sinai 
Σινᾶ	Sinai 
Σιών	Sion 
Σιὼν	Sion 
Σιών	Sion 
Σιών	Sion  
Συχὰρ	Sychar 
Ταβιθά	Tabitha 
Θαμάρ	Tamar 
Θάρα	Terah 
Σαδώκ	Zadok 
Ζαβουλὼν	Zebulun 
Ζαβουλὼν	Zebulun 
Ζάρα	Zerah 
Ζοροβαβὲλ	Zerubbabel 
Ζοροβαβέλ	Zerubbabel 
