,category,hexrange,range
0,Control Character,"['0000', '001F']","[0, 31]"
1,Basic Latin,"['0020', '007F']","[32, 127]"
2,Latin-1 Supplement,"['0080', '00FF']","[128, 255]"
3,Latin Extended-A,"['0100', '017F']","[256, 383]"
4,Latin Extended-B,"['0180', '024F']","[384, 591]"
5,IPA Extensions,"['0250', '02AF']","[592, 687]"
6,Spacing Modifier Letters,"['02B0', '02FF']","[688, 767]"
7,Combining Diacritical Marks,"['0300', '036F']","[768, 879]"
8,Greek and Coptic,"['0370', '03FF']","[880, 1023]"
9,Cyrillic,"['0400', '04FF']","[1024, 1279]"
10,Cyrillic Supplement,"['0500', '052F']","[1280, 1327]"
11,Armenian,"['0530', '058F']","[1328, 1423]"
12,Hebrew,"['0590', '05FF']","[1424, 1535]"
13,Arabic,"['0600', '06FF']","[1536, 1791]"
14,Syriac,"['0700', '074F']","[1792, 1871]"
15,Arabic Supplement,"['0750', '077F']","[1872, 1919]"
16,Thaana,"['0780', '07BF']","[1920, 1983]"
17,NKo,"['07C0', '07FF']","[1984, 2047]"
18,Samaritan,"['0800', '083F']","[2048, 2111]"
19,Mandaic,"['0840', '085F']","[2112, 2143]"
20,Arabic Extended-A,"['08A0', '08FF']","[2208, 2303]"
21,Devanagari,"['0900', '097F']","[2304, 2431]"
22,Bengali,"['0980', '09FF']","[2432, 2559]"
23,Gurmukhi,"['0A00', '0A7F']","[2560, 2687]"
24,Gujarati,"['0A80', '0AFF']","[2688, 2815]"
25,Oriya,"['0B00', '0B7F']","[2816, 2943]"
26,Tamil,"['0B80', '0BFF']","[2944, 3071]"
27,Telugu,"['0C00', '0C7F']","[3072, 3199]"
28,Kannada,"['0C80', '0CFF']","[3200, 3327]"
29,Malayalam,"['0D00', '0D7F']","[3328, 3455]"
30,Sinhala,"['0D80', '0DFF']","[3456, 3583]"
31,Thai,"['0E00', '0E7F']","[3584, 3711]"
32,Lao,"['0E80', '0EFF']","[3712, 3839]"
33,Tibetan,"['0F00', '0FFF']","[3840, 4095]"
34,Myanmar,"['1000', '109F']","[4096, 4255]"
35,Georgian,"['10A0', '10FF']","[4256, 4351]"
36,Hangul Jamo,"['1100', '11FF']","[4352, 4607]"
37,Ethiopic,"['1200', '137F']","[4608, 4991]"
38,Ethiopic Supplement,"['1380', '139F']","[4992, 5023]"
39,Cherokee,"['13A0', '13FF']","[5024, 5119]"
40,Unified Canadian Aboriginal Syllabics,"['1400', '167F']","[5120, 5759]"
41,Ogham,"['1680', '169F']","[5760, 5791]"
42,Runic,"['16A0', '16FF']","[5792, 5887]"
43,Tagalog,"['1700', '171F']","[5888, 5919]"
44,Hanunoo,"['1720', '173F']","[5920, 5951]"
45,Buhid,"['1740', '175F']","[5952, 5983]"
46,Tagbanwa,"['1760', '177F']","[5984, 6015]"
47,Khmer,"['1780', '17FF']","[6016, 6143]"
48,Mongolian,"['1800', '18AF']","[6144, 6319]"
49,Unified Canadian Aboriginal Syllabics Extended,"['18B0', '18FF']","[6320, 6399]"
50,Limbu,"['1900', '194F']","[6400, 6479]"
51,Tai Le,"['1950', '197F']","[6480, 6527]"
52,New Tai Lue,"['1980', '19DF']","[6528, 6623]"
53,Khmer Symbols,"['19E0', '19FF']","[6624, 6655]"
54,Buginese,"['1A00', '1A1F']","[6656, 6687]"
55,Tai Tham,"['1A20', '1AAF']","[6688, 6831]"
56,Combining Diacritical Marks Extended,"['1AB0', '1AFF']","[6832, 6911]"
57,Balinese,"['1B00', '1B7F']","[6912, 7039]"
58,Sundanese,"['1B80', '1BBF']","[7040, 7103]"
59,Batak,"['1BC0', '1BFF']","[7104, 7167]"
60,Lepcha,"['1C00', '1C4F']","[7168, 7247]"
61,Ol Chiki,"['1C50', '1C7F']","[7248, 7295]"
62,Sundanese Supplement,"['1CC0', '1CCF']","[7360, 7375]"
63,Vedic Extensions,"['1CD0', '1CFF']","[7376, 7423]"
64,Phonetic Extensions,"['1D00', '1D7F']","[7424, 7551]"
65,Phonetic Extensions Supplement,"['1D80', '1DBF']","[7552, 7615]"
66,Combining Diacritical Marks Supplement,"['1DC0', '1DFF']","[7616, 7679]"
67,Latin Extended Additional,"['1E00', '1EFF']","[7680, 7935]"
68,Greek Extended,"['1F00', '1FFF']","[7936, 8191]"
69,General Punctuation,"['2000', '206F']","[8192, 8303]"
70,Superscripts and Subscripts,"['2070', '209F']","[8304, 8351]"
71,Currency Symbols,"['20A0', '20CF']","[8352, 8399]"
72,Combining Diacritical Marks for Symbols,"['20D0', '20FF']","[8400, 8447]"
73,Letterlike Symbols,"['2100', '214F']","[8448, 8527]"
74,Number Forms,"['2150', '218F']","[8528, 8591]"
75,Arrows,"['2190', '21FF']","[8592, 8703]"
76,Mathematical Operators,"['2200', '22FF']","[8704, 8959]"
77,Miscellaneous Technical,"['2300', '23FF']","[8960, 9215]"
78,Control Pictures,"['2400', '243F']","[9216, 9279]"
79,Optical Character Recognition,"['2440', '245F']","[9280, 9311]"
80,Enclosed Alphanumerics,"['2460', '24FF']","[9312, 9471]"
81,Box Drawing,"['2500', '257F']","[9472, 9599]"
82,Block Elements,"['2580', '259F']","[9600, 9631]"
83,Geometric Shapes,"['25A0', '25FF']","[9632, 9727]"
84,Miscellaneous Symbols,"['2600', '26FF']","[9728, 9983]"
85,Dingbats,"['2700', '27BF']","[9984, 10175]"
86,Miscellaneous Mathematical Symbols-A,"['27C0', '27EF']","[10176, 10223]"
87,Supplemental Arrows-A,"['27F0', '27FF']","[10224, 10239]"
88,Braille Patterns,"['2800', '28FF']","[10240, 10495]"
89,Supplemental Arrows-B,"['2900', '297F']","[10496, 10623]"
90,Miscellaneous Mathematical Symbols-B,"['2980', '29FF']","[10624, 10751]"
91,Supplemental Mathematical Operators,"['2A00', '2AFF']","[10752, 11007]"
92,Miscellaneous Symbols and Arrows,"['2B00', '2BFF']","[11008, 11263]"
93,Glagolitic,"['2C00', '2C5F']","[11264, 11359]"
94,Latin Extended-C,"['2C60', '2C7F']","[11360, 11391]"
95,Coptic,"['2C80', '2CFF']","[11392, 11519]"
96,Georgian Supplement,"['2D00', '2D2F']","[11520, 11567]"
97,Tifinagh,"['2D30', '2D7F']","[11568, 11647]"
98,Ethiopic Extended,"['2D80', '2DDF']","[11648, 11743]"
99,Cyrillic Extended-A,"['2DE0', '2DFF']","[11744, 11775]"
100,Supplemental Punctuation,"['2E00', '2E7F']","[11776, 11903]"
101,CJK Radicals Supplement,"['2E80', '2EFF']","[11904, 12031]"
102,Kangxi Radicals,"['2F00', '2FDF']","[12032, 12255]"
103,Ideographic Description Characters,"['2FF0', '2FFF']","[12272, 12287]"
104,CJK Symbols and Punctuation,"['3000', '303F']","[12288, 12351]"
105,Hiragana,"['3040', '309F']","[12352, 12447]"
106,Katakana,"['30A0', '30FF']","[12448, 12543]"
107,Bopomofo,"['3100', '312F']","[12544, 12591]"
108,Hangul Compatibility Jamo,"['3130', '318F']","[12592, 12687]"
109,Kanbun,"['3190', '319F']","[12688, 12703]"
110,Bopomofo Extended,"['31A0', '31BF']","[12704, 12735]"
111,CJK Strokes,"['31C0', '31EF']","[12736, 12783]"
112,Katakana Phonetic Extensions,"['31F0', '31FF']","[12784, 12799]"
113,Enclosed CJK Letters and Months,"['3200', '32FF']","[12800, 13055]"
114,CJK Compatibility,"['3300', '33FF']","[13056, 13311]"
115,CJK Unified Ideographs Extension A,"['3400', '4DBF']","[13312, 19903]"
116,Yijing Hexagram Symbols,"['4DC0', '4DFF']","[19904, 19967]"
117,CJK Unified Ideographs,"['4E00', '9FFF']","[19968, 40959]"
118,Yi Syllables,"['A000', 'A48F']","[40960, 42127]"
119,Yi Radicals,"['A490', 'A4CF']","[42128, 42191]"
120,Lisu,"['A4D0', 'A4FF']","[42192, 42239]"
121,Vai,"['A500', 'A63F']","[42240, 42559]"
122,Cyrillic Extended-B,"['A640', 'A69F']","[42560, 42655]"
123,Bamum,"['A6A0', 'A6FF']","[42656, 42751]"
124,Modifier Tone Letters,"['A700', 'A71F']","[42752, 42783]"
125,Latin Extended-D,"['A720', 'A7FF']","[42784, 43007]"
126,Syloti Nagri,"['A800', 'A82F']","[43008, 43055]"
127,Common Indic Number Forms,"['A830', 'A83F']","[43056, 43071]"
128,Phags-pa,"['A840', 'A87F']","[43072, 43135]"
129,Saurashtra,"['A880', 'A8DF']","[43136, 43231]"
130,Devanagari Extended,"['A8E0', 'A8FF']","[43232, 43263]"
131,Kayah Li,"['A900', 'A92F']","[43264, 43311]"
132,Rejang,"['A930', 'A95F']","[43312, 43359]"
133,Hangul Jamo Extended-A,"['A960', 'A97F']","[43360, 43391]"
134,Javanese,"['A980', 'A9DF']","[43392, 43487]"
135,Myanmar Extended-B,"['A9E0', 'A9FF']","[43488, 43519]"
136,Cham,"['AA00', 'AA5F']","[43520, 43615]"
137,Myanmar Extended-A,"['AA60', 'AA7F']","[43616, 43647]"
138,Tai Viet,"['AA80', 'AADF']","[43648, 43743]"
139,Meetei Mayek Extensions,"['AAE0', 'AAFF']","[43744, 43775]"
140,Ethiopic Extended-A,"['AB00', 'AB2F']","[43776, 43823]"
141,Latin Extended-E,"['AB30', 'AB6F']","[43824, 43887]"
142,Cherokee Supplement,"['AB70', 'ABBF']","[43888, 43967]"
143,Meetei Mayek,"['ABC0', 'ABFF']","[43968, 44031]"
144,Hangul Syllables,"['AC00', 'D7AF']","[44032, 55215]"
145,Hangul Jamo Extended-B,"['D7B0', 'D7FF']","[55216, 55295]"
146,High Surrogates,"['D800', 'DB7F']","[55296, 56191]"
147,High Private Use Surrogates,"['DB80', 'DBFF']","[56192, 56319]"
148,Low Surrogates,"['DC00', 'DFFF']","[56320, 57343]"
149,Private Use Area,"['E000', 'F8FF']","[57344, 63743]"
150,CJK Compatibility Ideographs,"['F900', 'FAFF']","[63744, 64255]"
151,Alphabetic Presentation Forms,"['FB00', 'FB4F']","[64256, 64335]"
152,Arabic Presentation Forms-A,"['FB50', 'FDFF']","[64336, 65023]"
153,Variation Selectors,"['FE00', 'FE0F']","[65024, 65039]"
154,Vertical Forms,"['FE10', 'FE1F']","[65040, 65055]"
155,Combining Half Marks,"['FE20', 'FE2F']","[65056, 65071]"
156,CJK Compatibility Forms,"['FE30', 'FE4F']","[65072, 65103]"
157,Small Form Variants,"['FE50', 'FE6F']","[65104, 65135]"
158,Arabic Presentation Forms-B,"['FE70', 'FEFF']","[65136, 65279]"
159,Halfwidth and Fullwidth Forms,"['FF00', 'FFEF']","[65280, 65519]"
160,Specials,"['FFF0', 'FFFF']","[65520, 65535]"
161,Linear B Syllabary,"['10000', '1007F']","[65536, 65663]"
162,Linear B Ideograms,"['10080', '100FF']","[65664, 65791]"
163,Aegean Numbers,"['10100', '1013F']","[65792, 65855]"
164,Ancient Greek Numbers,"['10140', '1018F']","[65856, 65935]"
165,Ancient Symbols,"['10190', '101CF']","[65936, 65999]"
166,Phaistos Disc,"['101D0', '101FF']","[66000, 66047]"
167,Lycian,"['10280', '1029F']","[66176, 66207]"
168,Carian,"['102A0', '102DF']","[66208, 66271]"
169,Coptic Epact Numbers,"['102E0', '102FF']","[66272, 66303]"
170,Old Italic,"['10300', '1032F']","[66304, 66351]"
171,Gothic,"['10330', '1034F']","[66352, 66383]"
172,Old Permic,"['10350', '1037F']","[66384, 66431]"
173,Ugaritic,"['10380', '1039F']","[66432, 66463]"
174,Old Persian,"['103A0', '103DF']","[66464, 66527]"
175,Deseret,"['10400', '1044F']","[66560, 66639]"
176,Shavian,"['10450', '1047F']","[66640, 66687]"
177,Osmanya,"['10480', '104AF']","[66688, 66735]"
178,Elbasan,"['10500', '1052F']","[66816, 66863]"
179,Caucasian Albanian,"['10530', '1056F']","[66864, 66927]"
180,Linear A,"['10600', '1077F']","[67072, 67455]"
181,Cypriot Syllabary,"['10800', '1083F']","[67584, 67647]"
182,Imperial Aramaic,"['10840', '1085F']","[67648, 67679]"
183,Palmyrene,"['10860', '1087F']","[67680, 67711]"
184,Nabataean,"['10880', '108AF']","[67712, 67759]"
185,Hatran,"['108E0', '108FF']","[67808, 67839]"
186,Phoenician,"['10900', '1091F']","[67840, 67871]"
187,Lydian,"['10920', '1093F']","[67872, 67903]"
188,Meroitic Hieroglyphs,"['10980', '1099F']","[67968, 67999]"
189,Meroitic Cursive,"['109A0', '109FF']","[68000, 68095]"
190,Kharoshthi,"['10A00', '10A5F']","[68096, 68191]"
191,Old South Arabian,"['10A60', '10A7F']","[68192, 68223]"
192,Old North Arabian,"['10A80', '10A9F']","[68224, 68255]"
193,Manichaean,"['10AC0', '10AFF']","[68288, 68351]"
194,Avestan,"['10B00', '10B3F']","[68352, 68415]"
195,Inscriptional Parthian,"['10B40', '10B5F']","[68416, 68447]"
196,Inscriptional Pahlavi,"['10B60', '10B7F']","[68448, 68479]"
197,Psalter Pahlavi,"['10B80', '10BAF']","[68480, 68527]"
198,Old Turkic,"['10C00', '10C4F']","[68608, 68687]"
199,Old Hungarian,"['10C80', '10CFF']","[68736, 68863]"
200,Rumi Numeral Symbols,"['10E60', '10E7F']","[69216, 69247]"
201,Brahmi,"['11000', '1107F']","[69632, 69759]"
202,Kaithi,"['11080', '110CF']","[69760, 69839]"
203,Sora Sompeng,"['110D0', '110FF']","[69840, 69887]"
204,Chakma,"['11100', '1114F']","[69888, 69967]"
205,Mahajani,"['11150', '1117F']","[69968, 70015]"
206,Sharada,"['11180', '111DF']","[70016, 70111]"
207,Sinhala Archaic Numbers,"['111E0', '111FF']","[70112, 70143]"
208,Khojki,"['11200', '1124F']","[70144, 70223]"
209,Multani,"['11280', '112AF']","[70272, 70319]"
210,Khudawadi,"['112B0', '112FF']","[70320, 70399]"
211,Grantha,"['11300', '1137F']","[70400, 70527]"
212,Tirhuta,"['11480', '114DF']","[70784, 70879]"
213,Siddham,"['11580', '115FF']","[71040, 71167]"
214,Modi,"['11600', '1165F']","[71168, 71263]"
215,Takri,"['11680', '116CF']","[71296, 71375]"
216,Ahom,"['11700', '1173F']","[71424, 71487]"
217,Warang Citi,"['118A0', '118FF']","[71840, 71935]"
218,Pau Cin Hau,"['11AC0', '11AFF']","[72384, 72447]"
219,Cuneiform,"['12000', '123FF']","[73728, 74751]"
220,Cuneiform Numbers and Punctuation,"['12400', '1247F']","[74752, 74879]"
221,Early Dynastic Cuneiform,"['12480', '1254F']","[74880, 75087]"
222,Egyptian Hieroglyphs,"['13000', '1342F']","[77824, 78895]"
223,Anatolian Hieroglyphs,"['14400', '1467F']","[82944, 83583]"
224,Bamum Supplement,"['16800', '16A3F']","[92160, 92735]"
225,Mro,"['16A40', '16A6F']","[92736, 92783]"
226,Bassa Vah,"['16AD0', '16AFF']","[92880, 92927]"
227,Pahawh Hmong,"['16B00', '16B8F']","[92928, 93071]"
228,Miao,"['16F00', '16F9F']","[93952, 94111]"
229,Kana Supplement,"['1B000', '1B0FF']","[110592, 110847]"
230,Duployan,"['1BC00', '1BC9F']","[113664, 113823]"
231,Shorthand Format Controls,"['1BCA0', '1BCAF']","[113824, 113839]"
232,Byzantine Musical Symbols,"['1D000', '1D0FF']","[118784, 119039]"
233,Musical Symbols,"['1D100', '1D1FF']","[119040, 119295]"
234,Ancient Greek Musical Notation,"['1D200', '1D24F']","[119296, 119375]"
235,Tai Xuan Jing Symbols,"['1D300', '1D35F']","[119552, 119647]"
236,Counting Rod Numerals,"['1D360', '1D37F']","[119648, 119679]"
237,Mathematical Alphanumeric Symbols,"['1D400', '1D7FF']","[119808, 120831]"
238,Sutton SignWriting,"['1D800', '1DAAF']","[120832, 121519]"
239,Mende Kikakui,"['1E800', '1E8DF']","[124928, 125151]"
240,Arabic Mathematical Alphabetic Symbols,"['1EE00', '1EEFF']","[126464, 126719]"
241,Mahjong Tiles,"['1F000', '1F02F']","[126976, 127023]"
242,Domino Tiles,"['1F030', '1F09F']","[127024, 127135]"
243,Playing Cards,"['1F0A0', '1F0FF']","[127136, 127231]"
244,Enclosed Alphanumeric Supplement,"['1F100', '1F1FF']","[127232, 127487]"
245,Enclosed Ideographic Supplement,"['1F200', '1F2FF']","[127488, 127743]"
246,Miscellaneous Symbols and Pictographs,"['1F300', '1F5FF']","[127744, 128511]"
247,Emoticons (Emoji),"['1F600', '1F64F']","[128512, 128591]"
248,Ornamental Dingbats,"['1F650', '1F67F']","[128592, 128639]"
249,Transport and Map Symbols,"['1F680', '1F6FF']","[128640, 128767]"
250,Alchemical Symbols,"['1F700', '1F77F']","[128768, 128895]"
251,Geometric Shapes Extended,"['1F780', '1F7FF']","[128896, 129023]"
252,Supplemental Arrows-C,"['1F800', '1F8FF']","[129024, 129279]"
253,Supplemental Symbols and Pictographs,"['1F900', '1F9FF']","[129280, 129535]"
254,Supplemental Private Use Area-A,"['F0000', 'FFFFD']","[983040, 1048573]"
255,Supplemental Private Use Area-B,"['100000', '10FFFD']","[1048576, 1114109]"
